13.0475 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x112024990>, name='window1', pos=[0, 0], screen=0, size=array([1280,  800]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.0475 	EXP 	window1: recordFrameIntervals = False
13.2128 	EXP 	window1: recordFrameIntervals = True
13.4299 	EXP 	window1: recordFrameIntervals = False
13.4302 	WARNING 	Monitor specification not found. Creating a temporary one...
13.7561 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x119792490>, name='window1', pos=[240, 100], screen=0, size=array([800, 600]), stereo=False, units=u'norm', useFBO=False, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.8686 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=PngImageFile(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 1.6,  1.6]), texRes=128, units=u'norm', win=Window(...))
13.8928 	EXP 	Created East = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='./EastPic.png', interpolate=True, mask=None, maskParams=None, name='East', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), texRes=128, units=u'norm', win=Window(...))
13.9148 	EXP 	Created West = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='./WestPic.png', interpolate=True, mask=None, maskParams=None, name='West', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), texRes=128, units=u'norm', win=Window(...))
13.9371 	EXP 	Created North = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, image='./NorthPic.png', interpolate=True, mask=None, maskParams=None, name='North', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), texRes=128, units=u'norm', win=Window(...))
13.9586 	EXP 	Created South = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, image='./SouthPic.png', interpolate=True, mask=None, maskParams=None, name='South', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), texRes=128, units=u'norm', win=Window(...))
13.9590 	EXP 	Created sequence: sequential, trialTypes=1, nReps=5, seed=None
13.9595 	EXP 	New trial (rep=0, index=0): None
13.9798 	EXP 	East: autoDraw = True
13.9798 	EXP 	West: autoDraw = True
13.9798 	EXP 	North: autoDraw = True
13.9798 	EXP 	South: autoDraw = True
14.9500 	EXP 	New trial (rep=1, index=0): None
14.9649 	EXP 	East: autoDraw = False
14.9649 	EXP 	West: autoDraw = False
14.9649 	EXP 	North: autoDraw = False
14.9649 	EXP 	South: autoDraw = False
14.9649 	EXP 	East: autoDraw = False
14.9649 	EXP 	West: autoDraw = False
14.9649 	EXP 	North: autoDraw = False
14.9649 	EXP 	South: autoDraw = False
14.9649 	EXP 	East: autoDraw = True
14.9649 	EXP 	West: autoDraw = True
14.9649 	EXP 	North: autoDraw = True
14.9649 	EXP 	South: autoDraw = True
15.9489 	EXP 	New trial (rep=2, index=0): None
15.9642 	EXP 	East: autoDraw = False
15.9642 	EXP 	West: autoDraw = False
15.9642 	EXP 	North: autoDraw = False
15.9642 	EXP 	South: autoDraw = False
15.9642 	EXP 	East: autoDraw = False
15.9642 	EXP 	West: autoDraw = False
15.9642 	EXP 	North: autoDraw = False
15.9642 	EXP 	South: autoDraw = False
15.9642 	EXP 	East: autoDraw = True
15.9642 	EXP 	West: autoDraw = True
15.9642 	EXP 	North: autoDraw = True
15.9642 	EXP 	South: autoDraw = True
16.9506 	EXP 	New trial (rep=3, index=0): None
16.9657 	EXP 	East: autoDraw = False
16.9657 	EXP 	West: autoDraw = False
16.9657 	EXP 	North: autoDraw = False
16.9657 	EXP 	South: autoDraw = False
16.9657 	EXP 	East: autoDraw = False
16.9657 	EXP 	West: autoDraw = False
16.9657 	EXP 	North: autoDraw = False
16.9657 	EXP 	South: autoDraw = False
16.9657 	EXP 	East: autoDraw = True
16.9657 	EXP 	West: autoDraw = True
16.9657 	EXP 	North: autoDraw = True
16.9657 	EXP 	South: autoDraw = True
17.9495 	EXP 	New trial (rep=4, index=0): None
17.9646 	EXP 	East: autoDraw = False
17.9646 	EXP 	West: autoDraw = False
17.9646 	EXP 	North: autoDraw = False
17.9646 	EXP 	South: autoDraw = False
17.9646 	EXP 	East: autoDraw = False
17.9646 	EXP 	West: autoDraw = False
17.9646 	EXP 	North: autoDraw = False
