12.1914 	DATA 	Keypress: lcommand
12.2065 	DATA 	Keypress: tab
12.5969 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1113f4bd0>, name='window1', pos=[0, 0], screen=0, size=array([1280,  800]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
12.5969 	EXP 	window1: recordFrameIntervals = False
12.7626 	EXP 	window1: recordFrameIntervals = True
12.9459 	EXP 	window1: recordFrameIntervals = False
13.0983 	EXP 	Created BlankPic = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='./BlankPic.png', interpolate=True, mask=None, maskParams=None, name='BlankPic', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), texRes=128, units=u'norm', win=Window(...))
13.0985 	WARNING 	Monitor specification not found. Creating a temporary one...
13.4825 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1131dca90>, name='window1', pos=[440, 200], screen=0, size=array([400, 400]), stereo=False, units='norm', useFBO=False, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.4914 	EXP 	Created RewardImage = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='./RewardPic.jpg', interpolate=True, mask=None, maskParams=None, name='RewardImage', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), texRes=128, units='norm', win=Window(...))
13.4919 	EXP 	Created sequence: sequential, trialTypes=1, nReps=5, seed=None
13.4923 	EXP 	New trial (rep=0, index=0): None
14.5195 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=PngImageFile(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 3.2,  2.4]), texRes=128, units='norm', win=Window(...))
16.2218 	WARNING 	Monitor specification not found. Creating a temporary one...
16.5592 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1131d01d0>, name='window1', pos=[440, 200], screen=0, size=array([400, 400]), stereo=False, units='norm', useFBO=False, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
16.5845 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=PngImageFile(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 3.2,  2.4]), texRes=128, units='norm', win=Window(...))
16.6036 	EXP 	Created unnamed Aperture = Aperture(autoLog=True, inverted=False, nVert=UNKNOWN, name='unnamed Aperture', ori=1, pos=(0, 0), shape=UNKNOWN, size=0.9, units='norm', win=Window(...))
16.6048 	EXP 	Created unnamed Aperture = Aperture(autoLog=True, inverted=False, nVert=UNKNOWN, name='unnamed Aperture', ori=1, pos=(0, 0), shape=UNKNOWN, size=0.9, units='norm', win=Window(...))
16.6061 	EXP 	Created unnamed Aperture = Aperture(autoLog=True, inverted=False, nVert=UNKNOWN, name='unnamed Aperture', ori=1, pos=(0, 0), shape=UNKNOWN, size=0.9, units='norm', win=Window(...))
16.6073 	EXP 	Created unnamed Aperture = Aperture(autoLog=True, inverted=False, nVert=UNKNOWN, name='unnamed Aperture', ori=1, pos=(0, 0), shape=UNKNOWN, size=0.9, units='norm', win=Window(...))
16.6089 	EXP 	unnamed Aperture: enabled = False
16.6089 	EXP 	unnamed Aperture: enabled = False
16.6089 	EXP 	unnamed Aperture: enabled = False
16.6089 	EXP 	unnamed Aperture: enabled = False
19.6114 	EXP 	New trial (rep=1, index=0): None
19.7165 	DATA 	Mouse: Left button down, pos=(768,265)
19.8869 	DATA 	Mouse:  Left button up, pos=(768,265)
20.6100 	DATA 	Mouse: wheel shift=(0,0), pos=(769,266)
20.6369 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=PngImageFile(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 3.2,  2.4]), texRes=128, units='norm', win=Window(...))
22.2385 	DATA 	Mouse: wheel shift=(0,5), pos=(769,266)
22.2394 	DATA 	Mouse: wheel shift=(0,-26), pos=(769,266)
22.2400 	DATA 	Keypress: lcommand
22.2409 	DATA 	Keypress: tab
22.3350 	DATA 	Keypress: lcommand
22.3755 	DATA 	Keypress: tab
22.4399 	WARNING 	Monitor specification not found. Creating a temporary one...
22.7664 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1131fad90>, name='window1', pos=[440, 200], screen=0, size=array([400, 400]), stereo=False, units='norm', useFBO=False, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
22.8029 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=PngImageFile(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 3.2,  2.4]), texRes=128, units='norm', win=Window(...))
22.8061 	EXP 	Created unnamed Aperture = Aperture(autoLog=True, inverted=False, nVert=UNKNOWN, name='unnamed Aperture', ori=1, pos=(0, 0), shape=UNKNOWN, size=0.9, units='norm', win=Window(...))
22.8075 	EXP 	Created unnamed Aperture = Aperture(autoLog=True, inverted=False, nVert=UNKNOWN, name='unnamed Aperture', ori=1, pos=(0, 0), shape=UNKNOWN, size=0.9, units='norm', win=Window(...))
22.8089 	EXP 	Created unnamed Aperture = Aperture(autoLog=True, inverted=False, nVert=UNKNOWN, name='unnamed Aperture', ori=1, pos=(0, 0), shape=UNKNOWN, size=0.9, units='norm', win=Window(...))
22.8103 	EXP 	Created unnamed Aperture = Aperture(autoLog=True, inverted=False, nVert=UNKNOWN, name='unnamed Aperture', ori=1, pos=(0, 0), shape=UNKNOWN, size=0.9, units='norm', win=Window(...))
22.8105 	EXP 	window1: mouseVisible = True
23.0806 	DATA 	Keypress: lcommand
23.0822 	EXP 	unnamed Aperture: enabled = False
23.0822 	EXP 	unnamed Aperture: enabled = False
23.0822 	EXP 	unnamed Aperture: enabled = False
23.0822 	EXP 	unnamed Aperture: enabled = False
26.0841 	EXP 	New trial (rep=2, index=0): None
27.1079 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=PngImageFile(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 3.2,  2.4]), texRes=128, units='norm', win=Window(...))
28.8307 	WARNING 	Monitor specification not found. Creating a temporary one...
29.1729 	DATA 	Keypress: escape
29.1913 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x11a22ded0>, name='window1', pos=[440, 200], screen=0, size=array([400, 400]), stereo=False, units='norm', useFBO=False, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
29.2200 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=PngImageFile(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 3.2,  2.4]), texRes=128, units='norm', win=Window(...))
29.2236 	EXP 	Created unnamed Aperture = Aperture(autoLog=True, inverted=False, nVert=UNKNOWN, name='unnamed Aperture', ori=1, pos=(0, 0), shape=UNKNOWN, size=0.9, units='norm', win=Window(...))
29.2251 	EXP 	Created unnamed Aperture = Aperture(autoLog=True, inverted=False, nVert=UNKNOWN, name='unnamed Aperture', ori=1, pos=(0, 0), shape=UNKNOWN, size=0.9, units='norm', win=Window(...))
29.2265 	EXP 	Created unnamed Aperture = Aperture(autoLog=True, inverted=False, nVert=UNKNOWN, name='unnamed Aperture', ori=1, pos=(0, 0), shape=UNKNOWN, size=0.9, units='norm', win=Window(...))
29.2281 	EXP 	Created unnamed Aperture = Aperture(autoLog=True, inverted=False, nVert=UNKNOWN, name='unnamed Aperture', ori=1, pos=(0, 0), shape=UNKNOWN, size=0.9, units='norm', win=Window(...))
29.2283 	EXP 	window1: mouseVisible = True
29.2439 	EXP 	unnamed Aperture: enabled = False
29.2439 	EXP 	unnamed Aperture: enabled = False
29.2439 	EXP 	unnamed Aperture: enabled = False
29.2439 	EXP 	unnamed Aperture: enabled = False
31.0560 	DATA 	Keypress: lcommand
31.4009 	EXP 	window1: mouseVisible = True
