10.8131 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1127d78d0>, name='window1', pos=[0, 0], screen=0, size=array([1280,  800]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.8131 	EXP 	window1: recordFrameIntervals = False
10.9784 	EXP 	window1: recordFrameIntervals = True
11.2287 	EXP 	window1: recordFrameIntervals = False
11.3375 	EXP 	Created BlankPic = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image=u'./BlankPic.png', interpolate=True, mask=None, maskParams=None, name='BlankPic', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), texRes=128, units=u'norm', win=Window(...))
11.3585 	EXP 	Created FocalPic = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image=u'./FocalPic.png', interpolate=True, mask=None, maskParams=None, name='FocalPic', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), texRes=128, units=u'norm', win=Window(...))
11.3830 	EXP 	Created East = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image=u'./EastPic.png', interpolate=True, mask=None, maskParams=None, name='East', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), texRes=128, units=u'norm', win=Window(...))
11.4044 	EXP 	Created West = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image=u'./WestPic.png', interpolate=True, mask=None, maskParams=None, name='West', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), texRes=128, units=u'norm', win=Window(...))
11.4256 	EXP 	Created North = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image=u'./NorthPic.png', interpolate=True, mask=None, maskParams=None, name='North', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), texRes=128, units=u'norm', win=Window(...))
11.4491 	EXP 	Created SouthPic = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, image=u'./SouthPic.png', interpolate=True, mask=None, maskParams=None, name='SouthPic', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), texRes=128, units=u'norm', win=Window(...))
11.5908 	EXP 	Created RewardImage = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image=u'./RewardPic.jpg', interpolate=True, mask=None, maskParams=None, name='RewardImage', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), texRes=128, units=u'norm', win=Window(...))
11.5913 	EXP 	Created sequence: sequential, trialTypes=1, nReps=5, seed=None
11.5917 	EXP 	New trial (rep=0, index=0): None
11.6120 	EXP 	BlankPic: autoDraw = True
12.5959 	EXP 	BlankPic: autoDraw = False
12.5959 	EXP 	BlankPic: autoDraw = False
12.5959 	EXP 	FocalPic: autoDraw = True
14.5970 	EXP 	FocalPic: autoDraw = False
14.5970 	EXP 	FocalPic: autoDraw = False
14.5970 	EXP 	East: autoDraw = True
14.5970 	EXP 	West: autoDraw = True
14.5970 	EXP 	North: autoDraw = True
14.5970 	EXP 	SouthPic: autoDraw = True
15.5974 	EXP 	East: autoDraw = False
15.5974 	EXP 	West: autoDraw = False
15.5974 	EXP 	North: autoDraw = False
15.5974 	EXP 	SouthPic: autoDraw = False
15.5974 	EXP 	East: autoDraw = False
15.5974 	EXP 	West: autoDraw = False
15.5974 	EXP 	North: autoDraw = False
15.5974 	EXP 	SouthPic: autoDraw = False
15.5974 	EXP 	RewardImage: autoDraw = True
16.5822 	EXP 	New trial (rep=1, index=0): None
16.5979 	EXP 	RewardImage: autoDraw = False
16.5979 	EXP 	RewardImage: autoDraw = False
16.5979 	EXP 	BlankPic: autoDraw = True
17.5986 	EXP 	BlankPic: autoDraw = False
17.5986 	EXP 	BlankPic: autoDraw = False
17.5986 	EXP 	FocalPic: autoDraw = True
19.5998 	EXP 	FocalPic: autoDraw = False
19.5998 	EXP 	FocalPic: autoDraw = False
19.5998 	EXP 	East: autoDraw = True
19.5998 	EXP 	West: autoDraw = True
19.5998 	EXP 	North: autoDraw = True
19.5998 	EXP 	SouthPic: autoDraw = True
20.5984 	EXP 	East: autoDraw = False
20.5984 	EXP 	West: autoDraw = False
20.5984 	EXP 	North: autoDraw = False
20.5984 	EXP 	SouthPic: autoDraw = False
20.5984 	EXP 	East: autoDraw = False
20.5984 	EXP 	West: autoDraw = False
20.5984 	EXP 	North: autoDraw = False
20.5984 	EXP 	SouthPic: autoDraw = False
20.5984 	EXP 	RewardImage: autoDraw = True
21.4512 	DATA 	Keypress: escape
